store_id;store_name;store_address;
1;Bon Bini Supermarket;Brievengat;
2;Alves Supermarket;F.D. Rooseveltweg 100;
3;Esperamos Supermarket;Jan Noorduynweg 60;
4;Centrum Supermarket Piscadera;Kaminda Mgr. Dr. Amado Romer 5;
5;Mangusa Hypermarket;Cas Coraweg 40;
6;Prince Shop;Semikok 5;
7;Luna Park Supermarket;Caracasbaaiweg 214 B;
8;Vreugdenhil Supermarket;Schubappelweg Z/N;
9;Esperamos Supermarket CCS;Caracasbaaiweg;
10;Centrum Supermarket Mahaai;Sbn Doormanweg 26;
11;Carrefour Market;Sambil Mall, Veeris 27 L-155;
12;Best Buy Supermarket;Junostraat Z/N;
13;Mangusa Supermarket;Schottegatweg Noord Z/N;
14;Boulevard Market;Dr. Martin Luther King Boulevard;
15;Watson;Kaminda Jose C. Antonia 47;
16;Timmy Sumermarket;Weg Naar Wespunt;
17;Gosie Minimarket;Gosieweg;
18;Goisco;Schottegatweg Noord 24;